Open,High,Low,Close,Adj Close,Volume
1003.3099975585938,1057.199951171875,1002.1799926757812,1054.72998046875,1054.72998046875,26542400
1063.510009765625,1119.6400146484375,1055.5,1089.010009765625,1089.010009765625,31445400
1106.550048828125,1112.0,1075.02001953125,1096.3800048828125,1096.3800048828125,20898900
1098.8699951171875,1138.719970703125,1092.699951171875,1137.06005859375,1137.06005859375,21642300
1162.3299560546875,1201.949951171875,1132.4300537109375,1156.8699951171875,1156.8699951171875,33072500
1167.510009765625,1180.5,1062.699951171875,1109.030029296875,1109.030029296875,36171700
1080.3900146484375,1132.77001953125,1062.0,1116.0,1116.0,22560200
1099.469970703125,1108.780029296875,1081.0,1081.9200439453125,1081.9200439453125,11680900
1100.989990234375,1142.6700439453125,1100.18994140625,1136.989990234375,1136.989990234375,19464500
1144.3699951171875,1168.0,1118.0,1144.760009765625,1144.760009765625,27092000
1160.699951171875,1172.8399658203125,1090.760009765625,1095.0,1095.0,22816800
1099.06005859375,1113.0,1056.6500244140625,1084.5999755859375,1084.5999755859375,24371600
1084.7900390625,1090.5799560546875,1000.2100219726562,1014.969970703125,1014.969970703125,30696300
1001.510009765625,1021.6400146484375,950.5,1009.010009765625,1009.010009765625,27221000
1044.199951171875,1057.6700439453125,1026.81005859375,1051.75,1051.75,18694900
1052.7099609375,1072.3800048828125,1033.0,1068.9599609375,1068.9599609375,13968800
1060.6400146484375,1062.489990234375,1002.3599853515625,1003.7999877929688,1003.7999877929688,19812800
1008.75,1020.97998046875,982.530029296875,1017.030029296875,1017.030029296875,19855000
1001.0900268554688,1005.0,951.4522705078125,966.4099731445312,966.4099731445312,25324692
